# species: Drosophila melanogaster
# support: EXP, IMP, HMP, HEP, IDA, IGI, HGI, IPI, IEP, HDA
# associations retrieved on: 2019-04-24 10:40:28-04
# gofunc built on: 2018-02-21 10:04:34.764444-05
# gene associations file: ftp://ftp.geneontology.org/pub/go/gene-associations/gene_association.fb.gz
#   revision: 2018-02-02 $
#   downloaded on: 2018-02-14 09:47:16-05
# GO DAG files from: http://archive.geneontology.org/latest-full/go_201512-termdb-tables.tar.gz
#   downloaded on: 2015-12-22 05:43:21-05
# translation required: yes
# translation info:
#   authority: ensembl
#     synergizer db built on: 2015-11-17 14:24:21.26681-05
#     synergizer db built from: Ensembl Genes 82 / Metazoa Mart / Plant Mart
#   namespace: flybasecgid_gene
#   coverage: 99.4%
# size of "genespace": 12880
# number of attributes: 8227
# NOTE: the last record consists of all the entities in the
# "genespace" that are not associated with any attribute (for
# the requested support).
GO:0000001	mitochondrion inheritance	CG42551 CG8862
GO:0000226	microtubule cytoskeleton organization	CG10060 CG10061 CG10229 CG10346 CG10642 CG10686 CG10701 CG10712 CG10923 CG10988 CG11084 CG11201 CG11207 CG11242 CG11253 CG11254 CG11312 CG11451 CG11526 CG11759 CG11881 CG12047 CG12114 CG12165 CG12192 CG12265 CG12298 CG12306 CG1240 CG1258 CG12946 CG13176 CG13221 CG13329 CG13415 CG13879 CG13914 CG14001 CG1404 CG1424 CG1451 CG1453 CG14620 CG14781 CG14998 CG1520 CG15730 CG15737 CG15797 CG1616 CG1625 CG16901 CG17046 CG17064 CG17081 CG17161 CG1725 CG17286 CG17291 CG17566 CG17610 CG1763 CG1768 CG17934 CG17935 CG17945 CG17946 CG18000 CG18076 CG18361 CG1938 CG2072 CG2095 CG2213 CG2331 CG2478 CG2615 CG2621 CG2671 CG2684 CG2919 CG3041 CG3068 CG3143 CG3157 CG31852 CG32038 CG3221 CG32435 CG3265 CG32667 CG33094 CG3352 CG33957 CG3403 CG34387 CG3510 CG3738 CG3875 CG3917 CG3953 CG3959 CG3983 CG4003 CG4051 CG42312 CG42551 CG42730 CG42731 CG42734 CG42768 CG42783 CG43161 CG43162 CG43443 CG43782 CG4488 CG4494 CG45057 CG45058 CG45110 CG4527 CG4579 CG4824 CG4865 CG5000 CG5014 CG5055 CG5127 CG5343 CG5410 CG5643 CG5650 CG5692 CG5695 CG5723 CG5977 CG6095 CG6176 CG6193 CG6203 CG6386 CG6549 CG6619 CG6631 CG6668 CG6719 CG6875 CG6921 CG6998 CG7004 CG7085 CG7109 CG7186 CG7242 CG7261 CG7293 CG7435 CG7507 CG7669 CG7765 CG7795 CG7831 CG7833 CG7861 CG7993 CG8104 CG8114 CG8174 CG8183 CG8201 CG8262 CG8269 CG8274 CG8308 CG8440 CG8590 CG8781 CG8801 CG8828 CG9028 CG9045 CG9078 CG9191 CG9193 CG9201 CG9206 CG9252 CG9311 CG9374 CG9659 CG9703 CG9765 CG9975 CG9995
GO:0000228	nuclear chromosome	CG10385 CG11680 CG1263 CG12767 CG13389 CG14251 CG17181 CG1915 CG3025 CG30425 CG3241 CG3395 CG4220 CG4494 CG45477 CG5738 CG5920 CG6297 CG7597 CG7622 CG7726 CG7939 CG8332 CG8631 CG8857 CG8900 CG8922
GO:0000229	cytoplasmic chromosome	CG4337
GO:0000235	astral microtubule	CG1453 CG18076 CG1913
GO:0000242	pericentriolar material	CG10061 CG11175 CG14025 CG1625 CG17286 CG2919 CG3157 CG3980 CG4832 CG6384
GO:0000262	mitochondrial chromosome	CG4337
GO:0000266	mitochondrial fission	CG10523 CG3210 CG4523 CG9559
GO:0000270	peptidoglycan metabolic process	CG6895 CG8577
GO:0000271	polysaccharide biosynthetic process	CG10072 CG10117 CG15110 CG5165 CG8339 CG8433
GO:0000272	polysaccharide catabolic process	CG7254
GO:0000278	mitotic cell cycle	CG10061 CG10079 CG10212 CG10308 CG10346 CG10664 CG10718 CG10811 CG10851 CG11063 CG11278 CG11387 CG11397 CG11414 CG11419 CG12217 CG12298 CG12306 CG12352 CG12363 CG1249 CG12559 CG12701 CG12749 CG13329 CG13350 CG1406 CG14549 CG1483 CG14999 CG1584 CG16941 CG16983 CG17436 CG17520 CG1768 CG1772 CG17870 CG17888 CG18102 CG18412 CG1906 CG1938 CG2210 CG2508 CG2637 CG2707 CG2890 CG2925 CG3034 CG3051 CG3134 CG3157 CG3183 CG32435 CG32443 CG32505 CG32742 CG3284 CG3319 CG33261 CG33473 CG33956 CG3436 CG3510 CG3530 CG3619 CG3664 CG3738 CG3886 CG3895 CG3917 CG3936 CG3937 CG3954 CG4035 CG42312 CG42551 CG42572 CG4274 CG4336 CG4454 CG4494 CG4792 CG4824 CG5000 CG5148 CG5272 CG5360 CG5553 CG5650 CG5688 CG5725 CG5814 CG5931 CG5940 CG6050 CG6127 CG6174 CG6176 CG6203 CG6235 CG6238 CG6413 CG6502 CG6513 CG6546 CG6721 CG6759 CG6768 CG6779 CG6939 CG7109 CG7186 CG7292 CG7425 CG7507 CG7671 CG7719 CG8120 CG8231 CG8402 CG8409 CG8427 CG8590 CG8597 CG8610 CG8636 CG8787 CG9045 CG9075 CG9115 CG9181 CG9191 CG9198 CG9201 CG9206 CG9373 CG9441 CG9660 CG9765 CG9772 CG9774 CG9790 CG9856 CG9862
GO:0000280	nuclear division	CG10061 CG10192 CG10390 CG1063 CG10923 CG10988 CG11181 CG11278 CG11308 CG11330 CG11525 CG12298 CG12306 CG12442 CG13879 CG14016 CG14513 CG14781 CG15104 CG15636 CG16783 CG1763 CG2075 CG2621 CG2684 CG2980 CG3018 CG32417 CG32491 CG33133 CG33261 CG33935 CG3697 CG3738 CG3959 CG4193 CG42551 CG4274 CG43782 CG4399 CG45477 CG4579 CG4760 CG4965 CG5000 CG5119 CG5303 CG5363 CG5825 CG6072 CG6386 CG6577 CG7186 CG7347 CG7425 CG7643 CG7719 CG7838 CG7948 CG8308 CG8484 CG8590 CG8923 CG8961 CG8979 CG8989 CG9842 CG9862
GO:0000281	mitotic cytokinesis	CG1004 CG10067 CG10068 CG10522 CG11207 CG12051 CG12165 CG12265 CG1258 CG12876 CG13345 CG1528 CG15792 CG15811 CG1768 CG2092 CG2512 CG31136 CG3210 CG33094 CG33554 CG34438 CG3510 CG3573 CG3595 CG4027 CG4173 CG4214 CG4236 CG4254 CG4454 CG4527 CG4713 CG5052 CG5785 CG5814 CG6193 CG6546 CG6620 CG6625 CG7085 CG7236 CG7923 CG8055 CG8114 CG8171 CG8416 CG8705 CG8739 CG8843 CG9045 CG9553 CG9575 CG9774
GO:0000285	1-phosphatidylinositol-3-phosphate 5-kinase activity	CG6355
GO:0000287	magnesium ion binding	CG2210 CG5410
GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening	CG2163 CG31137 CG31299 CG34407 CG5263 CG5684 CG8232 CG8426
GO:0000290	deadenylation-dependent decapping of nuclear-transcribed mRNA	CG5208 CG6169
GO:0000291	nuclear-transcribed mRNA catabolic process, exonucleolytic	CG3291
GO:0000293	ferric-chelate reductase activity	CG8399
GO:0000295	adenine nucleotide transmembrane transporter activity	CG16944 CG7623 CG7853
GO:0000301	retrograde transport, vesicle recycling within Golgi	CG7085
GO:0000302	response to reactive oxygen species	CG12559 CG1349 CG1455 CG14885 CG14886 CG17856 CG30410 CG4154 CG5475 CG5680 CG6871 CG6936 CG7224 CG7393 CG8971 CG9172 CG9762 CR42943 CR42995 CR43017
GO:0000306	extrinsic component of vacuolar membrane	CG7891
GO:0000307	cyclin-dependent protein kinase holoenzyme complex	CG7597
GO:0000309	nicotinamide-nucleotide adenylyltransferase activity	CG13645
GO:0000323	lytic vacuole	CG12108 CG12143 CG12230 CG13533 CG14001 CG1467 CG1548 CG1599 CG1887 CG2331 CG3093 CG32672 CG3305 CG3424 CG4550 CG4845 CG4851 CG5582 CG6562 CG6692 CG6969 CG7074 CG7609 CG7891 CG8024 CG8594 CG8722 CG8743 CG8783 CG8949 CG9104
GO:0000335	negative regulation of transposition, DNA-mediated	CG10473 CG16788 CG3158 CG6122 CG8781 CG9401
GO:0000337	regulation of transposition, DNA-mediated	CG10473 CG16788 CG3158 CG6122 CG8781 CG9401
GO:0000338	protein deneddylation	CG14884 CG18332 CG2038 CG3889 CG42522 CG6932 CG8493 CG8725
GO:0000339	RNA cap binding	CG10124 CG10192 CG10811 CG1442 CG32859 CG33100 CG4035 CG8023 CG8277
GO:0000340	RNA 7-methylguanosine cap binding	CG10124 CG10192 CG10811 CG1442 CG32859 CG33100 CG4035 CG8023 CG8277
GO:0000347	THO complex	CG17143 CG2031 CG2980 CG31671 CG5632
GO:0000375	RNA splicing, via transesterification reactions	CG10128 CG1017 CG10851 CG12085 CG16724 CG16725 CG17136 CG30342 CG3496 CG3582 CG42670 CG5714 CG6315 CG8877 CG9998 CR32989
GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	CG10128 CG1017 CG10851 CG12085 CG16724 CG16725 CG17136 CG30342 CG3582 CG42670 CG5714 CG8877 CG9998 CR32989
GO:0000380	alternative mRNA splicing, via spliceosome	CG12085
GO:0000381	regulation of alternative mRNA splicing, via spliceosome	CG10128 CG10203 CG10210 CG10279 CG10293 CG10418 CG10445 CG10851 CG11266 CG11360 CG12076 CG12085 CG12749 CG12759 CG12924 CG13425 CG14641 CG1646 CG16901 CG16941 CG17136 CG17454 CG17540 CG1987 CG2910 CG2926 CG31762 CG3193 CG32604 CG33197 CG33677 CG34362 CG3496 CG3582 CG3584 CG4119 CG42320 CG43770 CG4528 CG4602 CG5205 CG5422 CG5442 CG5454 CG5519 CG5655 CG5728 CG5931 CG5933 CG6197 CG6227 CG6315 CG6464 CG6525 CG6667 CG6841 CG6995 CG6999 CG7185 CG7269 CG7437 CG7818 CG7879 CG8019 CG8241 CG8749 CG8912 CG9075 CG9696 CG9983 CG9998
GO:0000387	spliceosomal snRNP assembly	CG10419 CG16725
GO:0000394	RNA splicing, via endonucleolytic cleavage and ligation	CG3298
GO:0000398	mRNA splicing, via spliceosome	CG10128 CG1017 CG10851 CG12085 CG16724 CG16725 CG17136 CG30342 CG3582 CG42670 CG5714 CG8877 CG9998 CR32989
GO:0000400	four-way junction DNA binding	CG10670
GO:0000403	Y-form DNA binding	CG6920
GO:0000407	pre-autophagosomal structure	CG1347
GO:0000421	autophagosome membrane	CG5373 CG7452
GO:0000422	mitophagy	CG10523 CG11299 CG2013 CG4523 CG8542
GO:0000428	DNA-directed RNA polymerase complex	CG1163 CG1554 CG31155 CG3180 CG3284 CG43662 CG5553 CG6349 CG7108 CG7885
GO:0000439	core TFIIH complex	CG42373 CG7764 CG9433
GO:0000451	rRNA 2'-O-methylation	CG7421
GO:0000469	cleavage involved in rRNA processing	CR33682
GO:0000478	endonucleolytic cleavage involved in rRNA processing	CR33682
GO:0000483	endonucleolytic cleavage of tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)	CR33682
GO:0000496	base pairing	CR33726 CR43570 CR43571 CR43586 CR43589 CR43592 CR43594 CR43600 CR43601
GO:0000498	base pairing with RNA	CR33726 CR43570 CR43571 CR43586 CR43589 CR43592 CR43594 CR43600 CR43601
GO:0000502	proteasome complex	CG10149 CG10230 CG10938 CG1100 CG11888 CG11981 CG12000 CG12323 CG13349 CG1519 CG17331 CG18174 CG18495 CG3329 CG3416 CG3422 CG3431 CG4097 CG4157 CG42641 CG4904 CG5266 CG5378 CG7619 CG7762 CG8392 CG9327
GO:0000578	embryonic axis specification	CG1057 CG11513 CG12249 CG17958 CG1891 CG2146 CG2368 CG3018 CG3429 CG5248 CG5753 CG5974 CG8994 CG9373 CG9885 CR42925
GO:0000700	mismatch base pair DNA N-glycosylase activity	CG1981
GO:0000702	oxidized base lesion DNA N-glycosylase activity	CG6779
GO:0000705	achiasmate meiosis I	CG4399 CG7643
GO:0000706	meiotic DNA double-strand break processing	CG4252 CG4413 CG6535 CG7753
GO:0000707	meiotic DNA recombinase assembly	CG7753
GO:0000710	meiotic mismatch repair	CG7003 CG8153
GO:0000711	meiotic DNA repair synthesis	CG11525 CG30169 CG3736
GO:0000712	resolution of meiotic recombination intermediates	CG10215 CG15329 CG3697 CG4082 CG4249 CG8601
GO:0000722	telomere maintenance via recombination	CG6339
GO:0000723	telomere maintenance	CG10583 CG10692 CG12176 CG14121 CG14251 CG15636 CG1619 CG16928 CG18468 CG18801 CG42350 CG4252 CG5247 CG5330 CG5965 CG6219 CG6297 CG6339 CG6535 CG6754 CG6874 CG7347 CG8409
GO:0000724	double-strand break repair via homologous recombination	CG10123 CG10981 CG12109 CG13732 CG1925 CG2525 CG30169 CG3736 CG4252 CG44154 CG4449 CG4738 CG6589 CG6743 CG6754 CG6920 CG7143 CG7922 CG7948 CG8068
GO:0000725	recombinational repair	CG10123 CG10981 CG12109 CG13732 CG1925 CG2525 CG30169 CG3736 CG4252 CG44154 CG4449 CG4738 CG6589 CG6743 CG6754 CG6920 CG7143 CG7922 CG7948 CG8068
GO:0000726	non-recombinational repair	CG12176 CG18801 CG4252 CG4879 CG5247 CG6019 CG6920
GO:0000729	DNA double-strand break processing	CG4252 CG4413 CG6535 CG7753
GO:0000730	DNA recombinase assembly	CG7753
GO:0000731	DNA synthesis involved in DNA repair	CG11525 CG30169 CG3736 CG6920
GO:0000732	strand displacement	CG6920
GO:0000733	DNA strand renaturation	CG3753 CG6920
GO:0000737	DNA catabolic process, endonucleolytic	CG10670 CG6171
GO:0000738	DNA catabolic process, exonucleolytic	CG10670 CG7670
GO:0000741	karyogamy	CG12306 CG15737 CG2707 CG5000
GO:0000768	syncytium formation by plasma membrane fusion	CG10160 CG10379 CG12055 CG12946 CG13011 CG13503 CG1363 CG1429 CG14895 CG1520 CG1721 CG17492 CG1915 CG2171 CG2248 CG3127 CG3143 CG32096 CG32434 CG33141 CG3653 CG3727 CG3871 CG4001 CG4006 CG4636 CG4677 CG4696 CG5092 CG5336 CG5837 CG6545 CG6570 CG7070 CG7449 CG7558 CG7563 CG7893 CG8156 CG8846 CG9552
GO:0000775	chromosome, centromeric region	CG10726 CG12165 CG12265 CG13329 CG1453 CG15636 CG1619 CG18156 CG18468 CG18608 CG1960 CG2890 CG3018 CG31258 CG3134 CG32088 CG32435 CG32505 CG3423 CG4494 CG4548 CG5148 CG5303 CG6219 CG6620 CG8409 CG9351
GO:0000776	kinetochore	CG10923 CG12306 CG13329 CG13434 CG14513 CG15415 CG1558 CG1569 CG17498 CG18156 CG18729 CG2072 CG31258 CG31658 CG42550 CG4274 CG5020 CG6392 CG7242 CG7507 CG7581 CG7643 CG7838 CG8104 CG8440 CG8902 CG9206 CG9617 CG9900 CG9938
GO:0000779	condensed chromosome, centromeric region	CG13329 CG3018 CG31258 CG3134 CG3423 CG4494 CG5303 CG6620 CG8409
GO:0000780	condensed nuclear chromosome, centromeric region	CG13329 CG3018 CG31258 CG3423 CG4494 CG5303 CG6620 CG8409
